[info]
Anlage=SENA Bogota
Datum=180224
[messung]
;s;Adresse;KPC;U_DC_0;I_DC_0;P_DC_WR;U_AC_0;I_AC_0;P_AC_WR;T_WR;E_D_WR;U_DC_1;I_DC_1;P_DC_1;U_DC_2;I_DC_2;P_DC_2;U_DC_3;I_DC_3;P_DC_3;U_AC_1;I_AC_1;P_AC_1;U_AC_2;I_AC_2;P_AC_2;U_AC_3;I_AC_3;P_AC_3;COS_PHI;;;;
;s;;%;V;A;W;V;A;W;°C;Wh;V;A;W;V;A;W;V;A;W;V;A;W;V;A;W;V;A;W;;;;;
[Start]
12:30:00;900;4;100;296.4;5.17;1532;222.6;6.61;1471;39;365;;;;;;;;;;;;;;;;;;;;;0;0;0.0
12:45:00;900;1;100;266.5;3.76;1003;222.8;4.32;963;36;241;;;;;;;;;;;;;;;;;;;;;0;0;0.0
12:45:00;900;2;100;304.1;3.58;1089;220.8;4.73;1045;38;261;;;;;;;;;;;;;;;;;;;;;0;0;0.0
12:45:00;900;3;100;284.5;3.98;1133;221.7;4.90;1088;38;270;;;;;;;;;;;;;;;;;;;;;0;0;0.0
12:45:00;900;4;100;296.4;3.81;1130;221.8;4.89;1085;39;271;;;;;;;;;;;;;;;;;;;;;0;0;0.0
13:00:00;900;1;100;266.0;4.03;1073;222.7;4.62;1030;36;256;;;;;;;;;;;;;;;;;;;;;0;0;0.0
13:00:00;900;2;100;303.4;3.82;1158;220.7;5.04;1112;38;276;;;;;;;;;;;;;;;;;;;;;0;0;0.0
13:00:00;900;3;100;284.6;4.22;1202;221.9;5.20;1154;38;288;;;;;;;;;;;;;;;;;;;;;0;0;0.0
13:00:00;900;4;100;297.3;4.02;1195;221.7;5.17;1148;39;285;;;;;;;;;;;;;;;;;;;;;0;0;0.0
13:15:00;900;1;100;267.1;4.33;1158;222.6;4.99;1112;36;277;;;;;;;;;;;;;;;;;;;;;0;0;0.0
13:15:00;900;2;100;303.0;4.11;1246;220.7;5.42;1196;38;299;;;;;;;;;;;;;;;;;;;;;0;0;0.0
13:15:00;900;3;100;283.6;4.56;1295;221.5;5.61;1243;38;309;;;;;;;;;;;;;;;;;;;;;0;0;0.0
13:15:00;900;4;100;295.7;4.37;1294;221.5;5.60;1242;39;309;;;;;;;;;;;;;;;;;;;;;0;0;0.0
13:30:00;900;1;100;271.1;7.04;1912;223.0;8.22;1835;36;457;;;;;;;;;;;;;;;;;;;;;0;0;0.0
13:30:00;900;2;100;299.8;6.67;1998;220.4;8.70;1918;38;477;;;;;;;;;;;;;;;;;;;;;0;0;0.0
13:30:00;900;3;100;281.7;7.34;2067;221.5;8.95;1985;38;493;;;;;;;;;;;;;;;;;;;;;0;0;0.0
13:30:00;900;4;100;296.4;7.10;2106;222.0;9.10;2022;39;503;;;;;;;;;;;;;;;;;;;;;0;0;0.0
13:45:00;900;1;100;269.0;9.75;2626;224.4;11.22;2521;36;624;;;;;;;;;;;;;;;;;;;;;0;0;0.0
13:45:00;900;2;100;291.1;9.17;2666;221.3;11.55;2559;38;636;;;;;;;;;;;;;;;;;;;;;0;0;0.0
13:45:00;900;3;100;275.6;9.94;2739;222.4;11.81;2630;38;656;;;;;;;;;;;;;;;;;;;;;0;0;0.0
